RECORDING_SESSION_LABEL,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL,TRIAL_FIXATION_TOTAL,TRIAL_LABEL,bilingual_location,condition,expt_type,spoken_language,trial_type,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE
aditi,1,61,.,.,.,.,20.32,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,20.32
aditi,1,450,.,.,.,.,6.52,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,6.52
aditi,1,584,.,.,.,.,7.23,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,7.23
aditi,1,211,.,.,.,.,10.97,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,10.97
aditi,1,97,.,.,.,.,7.96,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,7.96
aditi,1,25,.,.,.,.,6.26,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,6.26
aditi,1,132,.,.,.,.,6.47,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,6.47
aditi,1,399,.,.,.,.,6.46,monolingual_interest_area,8,Trial: 1,2,Baseline,Main,Hindi,Expt,6.46
aditi,1,99,418,2,1,monolingual_interest_area,4.72,monolingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,4.72
aditi,1,319,418,2,1,monolingual_interest_area,4.85,monolingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,4.85
aditi,2,551,.,.,.,.,8.13,bilingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,8.13
aditi,2,525,525,1,2,bilingual_interest_area,4.6,bilingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,4.6
aditi,2,283,.,.,.,.,6.77,bilingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,6.77
aditi,2,349,.,.,.,.,6.67,bilingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,6.67
aditi,2,236,.,.,.,.,8.24,bilingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,8.24
aditi,2,237,.,.,.,.,7.3,bilingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,7.3
aditi,2,224,.,.,.,.,8.08,bilingual_interest_area,9,Trial: 2,1,Baseline,Main,Hindi,Expt,8.08
aditi,2,463,463,1,2,bilingual_interest_area,3.56,bilingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,3.56
aditi,1,646,.,.,.,.,6.97,monolingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,6.97
aditi,1,252,.,.,.,.,8.01,monolingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,8.01
aditi,2,378,.,.,.,.,7.41,bilingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,7.41
aditi,1,171,.,.,.,.,6.83,monolingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,6.83
aditi,2,263,.,.,.,.,8.07,bilingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,8.07
aditi,2,169,.,.,.,.,7.56,bilingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,7.56
aditi,2,140,.,.,.,.,7.1,bilingual_interest_area,8,Trial: 3,1,Conditioned,Main,Hindi,Expt,7.1
aditi,1,283,283,1,1,monolingual_interest_area,4.73,monolingual_interest_area,6,Trial: 4,1,Baseline,Main,Hindi,Expt,4.73
aditi,2,593,593,1,2,bilingual_interest_area,2.78,bilingual_interest_area,6,Trial: 4,1,Baseline,Main,Hindi,Expt,2.78
aditi,2,392,.,.,.,.,8.06,bilingual_interest_area,6,Trial: 4,1,Baseline,Main,Hindi,Expt,8.06
aditi,2,528,.,.,.,.,7.43,bilingual_interest_area,6,Trial: 4,1,Baseline,Main,Hindi,Expt,7.43
aditi,2,330,.,.,.,.,7.76,bilingual_interest_area,6,Trial: 4,1,Baseline,Main,Hindi,Expt,7.76
aditi,2,787,.,.,.,.,7.72,bilingual_interest_area,6,Trial: 4,1,Baseline,Main,Hindi,Expt,7.72
aditi,1,439,439,1,1,monolingual_interest_area,3.42,monolingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,3.42
aditi,2,388,388,1,2,bilingual_interest_area,3.73,bilingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,3.73
aditi,1,691,.,.,.,.,8.26,monolingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,8.26
aditi,2,247,.,.,.,.,7.72,bilingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,7.72
aditi,1,284,.,.,.,.,7.58,monolingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,7.58
aditi,2,226,.,.,.,.,7.17,bilingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,7.17
aditi,1,316,.,.,.,.,8.08,monolingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,8.08
aditi,2,226,.,.,.,.,7.13,bilingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,7.13
aditi,1,1,.,.,.,.,7.73,monolingual_interest_area,9,Trial: 5,2,Conditioned,Main,Hindi,Expt,7.73
aditi,1,35,395,2,1,monolingual_interest_area,3.58,monolingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,3.58
aditi,2,297,297,1,2,bilingual_interest_area,2.33,bilingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,2.33
aditi,1,360,395,2,1,monolingual_interest_area,5.45,monolingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,5.45
aditi,1,204,.,.,.,.,15.51,monolingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,15.51
aditi,1,322,.,.,.,.,16.02,monolingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,16.02
aditi,1,400,.,.,.,.,7.42,monolingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,7.42
aditi,2,445,.,.,.,.,6.48,bilingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,6.48
aditi,2,225,.,.,.,.,8.29,bilingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,8.29
aditi,2,397,.,.,.,.,7.39,bilingual_interest_area,9,Trial: 6,1,Conditioned,Main,Hindi,Expt,7.39
aditi,2,395,395,1,2,bilingual_interest_area,3.7,bilingual_interest_area,7,Trial: 7,1,Baseline,Main,English,Expt,3.7
aditi,1,406,.,.,.,.,6,monolingual_interest_area,7,Trial: 7,1,Baseline,Main,English,Expt,6
aditi,2,614,.,.,.,.,8.08,bilingual_interest_area,7,Trial: 7,1,Baseline,Main,English,Expt,8.08
aditi,1,293,.,.,.,.,7.03,monolingual_interest_area,7,Trial: 7,1,Baseline,Main,English,Expt,7.03
aditi,2,422,.,.,.,.,8.38,bilingual_interest_area,7,Trial: 7,1,Baseline,Main,English,Expt,8.38
aditi,1,312,.,.,.,.,7.84,monolingual_interest_area,7,Trial: 7,1,Baseline,Main,English,Expt,7.84
aditi,1,445,.,.,.,.,8.38,monolingual_interest_area,7,Trial: 7,1,Baseline,Main,English,Expt,8.38
aditi,2,447,701,2,2,bilingual_interest_area,3.43,bilingual_interest_area,7,Trial: 8,1,Baseline,Main,Hindi,Expt,3.43
aditi,1,582,.,.,.,.,7.38,monolingual_interest_area,7,Trial: 8,1,Baseline,Main,Hindi,Expt,7.38
aditi,2,661,.,.,.,.,6.11,bilingual_interest_area,7,Trial: 8,1,Baseline,Main,Hindi,Expt,6.11
aditi,2,254,701,2,2,bilingual_interest_area,5.08,bilingual_interest_area,7,Trial: 8,1,Baseline,Main,Hindi,Expt,5.08
aditi,2,284,.,.,.,.,7.33,bilingual_interest_area,7,Trial: 8,1,Baseline,Main,Hindi,Expt,7.33
aditi,2,483,.,.,.,.,6.29,bilingual_interest_area,7,Trial: 8,1,Baseline,Main,Hindi,Expt,6.29
aditi,2,3,.,.,.,.,7.37,bilingual_interest_area,7,Trial: 8,1,Baseline,Main,Hindi,Expt,7.37
aditi,2,205,205,1,2,bilingual_interest_area,4,bilingual_interest_area,6,Trial: 9,1,Baseline,Main,Hindi,Expt,4
aditi,1,439,.,.,.,.,7.71,monolingual_interest_area,6,Trial: 9,1,Baseline,Main,Hindi,Expt,7.71
aditi,1,422,.,.,.,.,13.18,monolingual_interest_area,6,Trial: 9,1,Baseline,Main,Hindi,Expt,13.18
aditi,1,1317,.,.,.,.,8.05,monolingual_interest_area,6,Trial: 9,1,Baseline,Main,Hindi,Expt,8.05
aditi,1,186,.,.,.,.,7.62,monolingual_interest_area,6,Trial: 9,1,Baseline,Main,Hindi,Expt,7.62
aditi,2,132,.,.,.,.,7.72,bilingual_interest_area,6,Trial: 9,1,Baseline,Main,Hindi,Expt,7.72
aditi,2,1297,1875,3,2,bilingual_interest_area,3.66,bilingual_interest_area,6,Trial: 10,2,Baseline,Main,Hindi,Expt,3.66
aditi,2,549,1875,3,2,bilingual_interest_area,3.75,bilingual_interest_area,6,Trial: 10,2,Baseline,Main,Hindi,Expt,3.75
aditi,2,29,1875,3,2,bilingual_interest_area,4.44,bilingual_interest_area,6,Trial: 10,2,Baseline,Main,Hindi,Expt,4.44
aditi,2,205,.,.,.,.,7.52,bilingual_interest_area,6,Trial: 10,2,Baseline,Main,Hindi,Expt,7.52
aditi,2,218,.,.,.,.,7.33,bilingual_interest_area,6,Trial: 10,2,Baseline,Main,Hindi,Expt,7.33
aditi,1,449,.,.,.,.,7.81,monolingual_interest_area,6,Trial: 10,2,Baseline,Main,Hindi,Expt,7.81
aditi,2,462,462,1,2,bilingual_interest_area,4.17,bilingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,4.17
aditi,1,288,.,.,.,.,6.14,monolingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,6.14
aditi,1,298,.,.,.,.,10.1,monolingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,10.1
aditi,2,208,.,.,.,.,7.73,bilingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,7.73
aditi,1,323,.,.,.,.,7.69,monolingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,7.69
aditi,2,501,.,.,.,.,7.43,bilingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,7.43
aditi,1,206,.,.,.,.,8.19,monolingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,8.19
aditi,2,422,.,.,.,.,7.4,bilingual_interest_area,8,Trial: 11,1,Baseline,Main,Hindi,Expt,7.4
aditi,2,445,445,1,2,bilingual_interest_area,3.52,bilingual_interest_area,7,Trial: 12,1,Conditioned,Main,Hindi,Expt,3.52
aditi,1,572,572,1,1,monolingual_interest_area,4.41,monolingual_interest_area,7,Trial: 12,1,Conditioned,Main,Hindi,Expt,4.41
aditi,1,557,.,.,.,.,8.46,monolingual_interest_area,7,Trial: 12,1,Conditioned,Main,Hindi,Expt,8.46
aditi,2,395,.,.,.,.,6.44,bilingual_interest_area,7,Trial: 12,1,Conditioned,Main,Hindi,Expt,6.44
aditi,2,380,.,.,.,.,8.03,bilingual_interest_area,7,Trial: 12,1,Conditioned,Main,Hindi,Expt,8.03
aditi,2,383,.,.,.,.,7.14,bilingual_interest_area,7,Trial: 12,1,Conditioned,Main,Hindi,Expt,7.14
aditi,2,116,.,.,.,.,6.93,bilingual_interest_area,7,Trial: 12,1,Conditioned,Main,Hindi,Expt,6.93
aditi,2,193,573,2,2,bilingual_interest_area,4.12,bilingual_interest_area,6,Trial: 13,2,Baseline,Main,Hindi,Expt,4.12
aditi,2,380,573,2,2,bilingual_interest_area,3.8,bilingual_interest_area,6,Trial: 13,2,Baseline,Main,Hindi,Expt,3.8
aditi,1,700,700,1,1,monolingual_interest_area,6.06,monolingual_interest_area,6,Trial: 13,2,Baseline,Main,Hindi,Expt,6.06
aditi,1,314,.,.,.,.,8.32,monolingual_interest_area,6,Trial: 13,2,Baseline,Main,Hindi,Expt,8.32
aditi,1,795,.,.,.,.,6.62,monolingual_interest_area,6,Trial: 13,2,Baseline,Main,Hindi,Expt,6.62
aditi,1,518,.,.,.,.,8.12,monolingual_interest_area,6,Trial: 13,2,Baseline,Main,Hindi,Expt,8.12
aditi,2,165,939,3,2,bilingual_interest_area,3.76,bilingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,3.76
aditi,2,274,939,3,2,bilingual_interest_area,4.95,bilingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,4.95
aditi,2,288,.,.,.,.,12.95,bilingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,12.95
aditi,1,550,.,.,.,.,7.17,monolingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,7.17
aditi,1,82,.,.,.,.,6.31,monolingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,6.31
aditi,1,329,329,1,1,monolingual_interest_area,5.31,monolingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,5.31
aditi,2,500,939,3,2,bilingual_interest_area,4.9,bilingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,4.9
aditi,2,312,.,.,.,.,6.61,bilingual_interest_area,8,Trial: 14,2,Baseline,Main,Hindi,Expt,6.61
aditi,1,73,.,.,.,.,8.33,monolingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,8.33
aditi,2,169,641,2,2,bilingual_interest_area,3.01,bilingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,3.01
aditi,2,472,641,2,2,bilingual_interest_area,5.28,bilingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,5.28
aditi,1,472,.,.,.,.,8.05,monolingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,8.05
aditi,1,421,.,.,.,.,7.87,monolingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,7.87
aditi,1,352,.,.,.,.,6.69,monolingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,6.69
aditi,2,669,.,.,.,.,7.42,bilingual_interest_area,7,Trial: 15,2,Baseline,Main,Hindi,Expt,7.42
aditi,2,1591,.,.,.,.,6.96,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,6.96
aditi,2,224,224,1,2,bilingual_interest_area,4.38,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,4.38
aditi,2,437,.,.,.,.,7.61,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,7.61
aditi,2,354,.,.,.,.,6.75,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,6.75
aditi,2,214,.,.,.,.,7.56,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,7.56
aditi,2,132,.,.,.,.,6.8,bilingual_interest_area,6,Trial: 16,1,Baseline,Main,Hindi,Expt,6.8
aditi,1,395,395,1,1,monolingual_interest_area,3.7,monolingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,3.7
aditi,2,136,.,.,.,.,8.32,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,8.32
aditi,2,608,.,.,.,.,13.9,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,13.9
aditi,2,493,.,.,.,.,15.35,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,15.35
aditi,2,259,.,.,.,.,10.96,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,10.96
aditi,2,163,.,.,.,.,12.17,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,12.17
aditi,2,179,.,.,.,.,6.84,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,6.84
aditi,1,259,.,.,.,.,7.63,monolingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,7.63
aditi,2,216,.,.,.,.,6.94,bilingual_interest_area,9,Trial: 17,1,Conditioned,Main,Hindi,Expt,6.94
aditi,1,138,340,2,1,monolingual_interest_area,3.97,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,3.97
aditi,2,258,628,2,2,bilingual_interest_area,2.6,bilingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,2.6
aditi,1,121,.,.,.,.,13.59,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,13.59
aditi,1,626,.,.,.,.,13.8,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,13.8
aditi,1,132,.,.,.,.,6.63,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,6.63
aditi,1,202,340,2,1,monolingual_interest_area,5.27,monolingual_interest_area,9,Trial: 18,2,Conditioned,Main,Hindi,Expt,5.27
