RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_END,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_START,TRIAL_FIXATION_TOTAL,Trial_Index_,condition,spoken_language,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_ID
aditi,1,2584,1,.,20.32,2524,8,1,Baseline,Hindi,.,.
aditi,1,3224,2,.,6.52,2775,8,1,Baseline,Hindi,.,.
aditi,1,3847,3,.,7.23,3264,8,1,Baseline,Hindi,.,.
aditi,1,4151,4,.,10.97,3941,8,1,Baseline,Hindi,.,.
aditi,1,4529,5,.,7.96,4433,8,1,Baseline,Hindi,.,.
aditi,1,4760,6,.,6.26,4736,8,1,Baseline,Hindi,.,.
aditi,1,4918,7,.,6.47,4787,8,1,Baseline,Hindi,.,.
aditi,1,5549,8,.,6.46,5150,8,1,Baseline,Hindi,.,.
aditi,2,2536,1,monolingual_interest_area,4.72,2438,9,2,Baseline,Hindi,2,1
aditi,2,2864,2,monolingual_interest_area,4.85,2546,9,2,Baseline,Hindi,2,1
aditi,2,3471,3,.,8.13,2921,9,2,Baseline,Hindi,.,.
aditi,2,4029,4,bilingual_interest_area,4.6,3505,9,2,Baseline,Hindi,1,2
aditi,2,4344,5,.,6.77,4062,9,2,Baseline,Hindi,.,.
aditi,2,4732,6,.,6.67,4384,9,2,Baseline,Hindi,.,.
aditi,2,5011,7,.,8.24,4776,9,2,Baseline,Hindi,.,.
aditi,2,5282,8,.,7.3,5046,9,2,Baseline,Hindi,.,.
aditi,2,5550,9,.,8.08,5326,9,2,Baseline,Hindi,.,.
aditi,3,2898,1,bilingual_interest_area,3.56,2436,8,3,Conditioned,Hindi,1,2
aditi,3,3607,2,.,6.97,2962,8,3,Conditioned,Hindi,.,.
aditi,3,3911,3,.,8.01,3660,8,3,Conditioned,Hindi,.,.
aditi,3,4322,4,.,7.41,3945,8,3,Conditioned,Hindi,.,.
aditi,3,4533,5,.,6.83,4363,8,3,Conditioned,Hindi,.,.
aditi,3,4830,6,.,8.07,4568,8,3,Conditioned,Hindi,.,.
aditi,3,5176,7,.,7.56,5008,8,3,Conditioned,Hindi,.,.
aditi,3,5548,8,.,7.1,5408,8,3,Conditioned,Hindi,.,.
aditi,4,2719,1,monolingual_interest_area,4.73,2437,6,4,Baseline,Hindi,1,1
aditi,4,3393,2,bilingual_interest_area,2.78,2801,6,4,Baseline,Hindi,1,2
aditi,4,3841,3,.,8.06,3450,6,4,Baseline,Hindi,.,.
aditi,4,4399,4,.,7.43,3872,6,4,Baseline,Hindi,.,.
aditi,4,4737,5,.,7.76,4408,6,4,Baseline,Hindi,.,.
aditi,4,5549,6,.,7.72,4762,6,4,Baseline,Hindi,.,.
aditi,5,2876,1,monolingual_interest_area,3.42,2438,9,5,Conditioned,Hindi,1,1
aditi,5,3327,2,bilingual_interest_area,3.73,2940,9,5,Conditioned,Hindi,1,2
aditi,5,4061,3,.,8.26,3371,9,5,Conditioned,Hindi,.,.
